value range: [0.456911,1]
distance matrix with 1003 points, using threshold at enclosing radius 0.788447
persistent homology intervals in dim 0:
 [0,0.523895):  {[132], [995]}
 [0,0.524046):  {[867], [995]}
 [0,0.524268):  {[995], [522]}
 [0,0.524298):  {[362], [995]}
 [0,0.524535):  {[802], [995]}
 [0,0.524758):  {[71], [995]}
 [0,0.525027):  {[267], [995]}
 [0,0.525594):  {[995], [928]}
 [0,0.5257):  {[995], [812]}
 [0,0.526004):  {[48], [995]}
 [0,0.526031):  {[511], [995]}
 [0,0.526099):  {[995], [338]}
 [0,0.526124):  {[995], [941]}
 [0,0.526224):  {[995], [748]}
 [0,0.526508):  {[203], [995]}
 [0,0.526521):  {[222], [962]}
 [0,0.526576):  {[995], [740]}
 [0,0.526774):  {[422], [995]}
 [0,0.526833):  {[995], [484]}
 [0,0.526869):  {[403], [995]}
 [0,0.527082):  {[995], [806]}
 [0,0.527116):  {[448], [995]}
 [0,0.527303):  {[532], [765]}
 [0,0.527493):  {[995], [426]}
 [0,0.527704):  {[995], [794]}
 [0,0.527896):  {[995], [1001]}
 [0,0.527897):  {[189], [995]}
 [0,0.527956):  {[995], [372]}
 [0,0.527961):  {[691], [995]}
 [0,0.528126):  {[995], [938]}
 [0,0.528307):  {[995], [143]}
 [0,0.528463):  {[304], [995]}
 [0,0.528671):  {[67], [995]}
 [0,0.52878):  {[142], [602]}
 [0,0.528795):  {[995], [441]}
 [0,0.528808):  {[995], [874]}
 [0,0.528922):  {[739], [995]}
 [0,0.52902):  {[995], [876]}
 [0,0.529031):  {[995], [1000]}
 [0,0.529129):  {[995], [733]}
 [0,0.529351):  {[995], [839]}
 [0,0.529756):  {[371], [995]}
 [0,0.529767):  {[995], [801]}
 [0,0.529831):  {[770], [995]}
 [0,0.529965):  {[995], [932]}
 [0,0.530132):  {[995], [729]}
 [0,0.530202):  {[588], [995]}
 [0,0.530436):  {[995], [231]}
 [0,0.530588):  {[420], [995]}
 [0,0.530629):  {[995], [923]}
 [0,0.530991):  {[995], [706]}
 [0,0.531192):  {[995], [517]}
 [0,0.531206):  {[995], [328]}
 [0,0.531448):  {[995], [469]}
 [0,0.531452):  {[995], [694]}
 [0,0.531549):  {[50], [995]}
 [0,0.531632):  {[995], [162]}
 [0,0.531652):  {[995], [743]}
 [0,0.531804):  {[995], [774]}
 [0,0.531809):  {[995], [734]}
 [0,0.531828):  {[35], [995]}
 [0,0.531837):  {[77], [995]}
 [0,0.531883):  {[995], [391]}
 [0,0.531995):  {[457], [995]}
 [0,0.532078):  {[560], [995]}
 [0,0.532263):  {[850], [995]}
 [0,0.53241):  {[236], [995]}
 [0,0.532448):  {[995], [940]}
 [0,0.532717):  {[3], [995]}
 [0,0.532886):  {[995], [255]}
 [0,0.532933):  {[221], [995]}
 [0,0.532984):  {[995], [981]}
 [0,0.533216):  {[405], [995]}
 [0,0.53336):  {[995], [487]}
 [0,0.53347):  {[995], [609]}
 [0,0.533492):  {[995], [323]}
 [0,0.533736):  {[995], [233]}
 [0,0.533825):  {[831], [995]}
 [0,0.533872):  {[374], [995]}
 [0,0.534009):  {[995], [433]}
 [0,0.534152):  {[995], [421]}
 [0,0.534223):  {[995], [744]}
 [0,0.534254):  {[995], [657]}
 [0,0.534452):  {[995], [438]}
 [0,0.534536):  {[188], [995]}
 [0,0.534629):  {[206], [995]}
 [0,0.534995):  {[995], [707]}
 [0,0.535094):  {[995], [702]}
 [0,0.535096):  {[316], [995]}
 [0,0.535366):  {[181], [995]}
 [0,0.535401):  {[995], [968]}
 [0,0.535425):  {[995], [727]}
 [0,0.535638):  {[272], [995]}
 [0,0.535673):  {[41], [995]}
 [0,0.535696):  {[524], [995]}
 [0,0.535713):  {[995], [163]}
 [0,0.535735):  {[250], [995]}
 [0,0.535743):  {[995], [751]}
 [0,0.535944):  {[995], [918]}
 [0,0.536103):  {[995], [789]}
 [0,0.536182):  {[995], [962]}
 [0,0.536253):  {[637], [995]}
 [0,0.53626):  {[995], [936]}
 [0,0.536661):  {[664], [995]}
 [0,0.536798):  {[471], [995]}
 [0,0.537006):  {[715], [995]}
 [0,0.537053):  {[100], [995]}
 [0,0.537063):  {[49], [995]}
 [0,0.537138):  {[53], [995]}
 [0,0.537225):  {[444], [995]}
 [0,0.537328):  {[537], [995]}
 [0,0.537369):  {[216], [995]}
 [0,0.537481):  {[835], [995]}
 [0,0.537617):  {[995], [897]}
 [0,0.537748):  {[834], [995]}
 [0,0.537846):  {[995], [602]}
 [0,0.53812):  {[995], [462]}
 [0,0.538198):  {[112], [995]}
 [0,0.538418):  {[15], [995]}
 [0,0.538495):  {[408], [995]}
 [0,0.538536):  {[494], [995]}
 [0,0.538548):  {[920], [995]}
 [0,0.538592):  {[995], [958]}
 [0,0.538851):  {[95], [995]}
 [0,0.538876):  {[995], [409]}
 [0,0.538912):  {[995], [557]}
 [0,0.539075):  {[995], [638]}
 [0,0.53933):  {[995], [736]}
 [0,0.539415):  {[995], [534]}
 [0,0.539783):  {[995], [594]}
 [0,0.539833):  {[297], [995]}
 [0,0.539922):  {[868], [929]}
 [0,0.539926):  {[995], [726]}
 [0,0.54025):  {[995], [757]}
 [0,0.540373):  {[70], [995]}
 [0,0.540386):  {[995], [479]}
 [0,0.540409):  {[995], [369]}
 [0,0.540428):  {[99], [519]}
 [0,0.540455):  {[94], [995]}
 [0,0.540816):  {[995], [262]}
 [0,0.540837):  {[78], [995]}
 [0,0.540841):  {[373], [995]}
 [0,0.540947):  {[995], [755]}
 [0,0.540973):  {[995], [513]}
 [0,0.541007):  {[995], [860]}
 [0,0.541049):  {[436], [995]}
 [0,0.54122):  {[134], [995]}
 [0,0.54129):  {[995], [625]}
 [0,0.541343):  {[473], [995]}
 [0,0.541405):  {[995], [810]}
 [0,0.541436):  {[995], [825]}
 [0,0.541535):  {[995], [758]}
 [0,0.541631):  {[463], [995]}
 [0,0.541738):  {[995], [797]}
 [0,0.5418):  {[995], [62]}
 [0,0.541816):  {[590], [995]}
 [0,0.542198):  {[333], [995]}
 [0,0.542319):  {[995], [851]}
 [0,0.542387):  {[995], [929]}
 [0,0.542531):  {[995], [954]}
 [0,0.542531):  {[6], [995]}
 [0,0.542575):  {[251], [995]}
 [0,0.542584):  {[995], [883]}
 [0,0.542668):  {[995], [423]}
 [0,0.543184):  {[995], [977]}
 [0,0.543235):  {[547], [995]}
 [0,0.543531):  {[995], [848]}
 [0,0.543795):  {[995], [787]}
 [0,0.543964):  {[443], [995]}
 [0,0.544):  {[497], [995]}
 [0,0.544):  {[200], [995]}
 [0,0.544026):  {[995], [519]}
 [0,0.544036):  {[995], [815]}
 [0,0.54407):  {[995], [984]}
 [0,0.544129):  {[118], [995]}
 [0,0.544387):  {[709], [995]}
 [0,0.544403):  {[995], [985]}
 [0,0.544464):  {[995], [916]}
 [0,0.544514):  {[995], [762]}
 [0,0.544546):  {[465], [995]}
 [0,0.544576):  {[995], [953]}
 [0,0.54465):  {[995], [877]}
 [0,0.544657):  {[223], [995]}
 [0,0.544887):  {[536], [995]}
 [0,0.545063):  {[995], [763]}
 [0,0.545162):  {[783], [995]}
 [0,0.545269):  {[424], [995]}
 [0,0.545281):  {[205], [995]}
 [0,0.545361):  {[995], [428]}
 [0,0.545368):  {[80], [995]}
 [0,0.545493):  {[332], [995]}
 [0,0.545507):  {[995], [155]}
 [0,0.545599):  {[307], [995]}
 [0,0.545748):  {[995], [498]}
 [0,0.545796):  {[995], [704]}
 [0,0.545818):  {[847], [995]}
 [0,0.546462):  {[106], [995]}
 [0,0.546583):  {[995], [910]}
 [0,0.546651):  {[995], [603]}
 [0,0.546774):  {[153], [995]}
 [0,0.546799):  {[241], [995]}
 [0,0.546999):  {[995], [220]}
 [0,0.547131):  {[995], [915]}
 [0,0.547134):  {[995], [152]}
 [0,0.547138):  {[252], [995]}
 [0,0.547307):  {[320], [995]}
 [0,0.547307):  {[995], [458]}
 [0,0.547527):  {[130], [995]}
 [0,0.54781):  {[480], [995]}
 [0,0.547834):  {[551], [995]}
 [0,0.548084):  {[382], [995]}
 [0,0.548151):  {[995], [701]}
 [0,0.548181):  {[995], [257]}
 [0,0.548375):  {[866], [995]}
 [0,0.548459):  {[995], [818]}
 [0,0.548477):  {[538], [995]}
 [0,0.548545):  {[416], [995]}
 [0,0.548575):  {[730], [995]}
 [0,0.548647):  {[194], [995]}
 [0,0.548782):  {[995], [926]}
 [0,0.548935):  {[61], [995]}
 [0,0.548939):  {[995], [119]}
 [0,0.548952):  {[995], [459]}
 [0,0.549095):  {[612], [995]}
 [0,0.549281):  {[334], [995]}
 [0,0.549366):  {[995], [717]}
 [0,0.549488):  {[243], [995]}
 [0,0.549576):  {[23], [995]}
 [0,0.549754):  {[995], [869]}
 [0,0.549905):  {[995], [781]}
 [0,0.549943):  {[995], [265]}
 [0,0.55009):  {[995], [939]}
 [0,0.550329):  {[995], [620]}
 [0,0.550416):  {[639], [995]}
 [0,0.550424):  {[16], [995]}
 [0,0.550483):  {[14], [995]}
 [0,0.550549):  {[410], [995]}
